round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.4950,0.5225,0.4775,0.4875,0.5075,0.4725,0.4675,0.4775,0.4575,0.4800,0.5300,0.4700,0.4850,0.5000,0.4700,0.5075,0.4850,0.4875,0.5325,0.5300,0.5125,0.4575,0.5050,0.4775,0.4625,0.5000,0.4950,0.4650,0.5175,0.4700,0.5075,0.4800,0.4900,0.4950,0.5000,0.5100,0.4775,0.4350,0.5200,0.4750,0.4775,0.4650,0.4650,0.4475,0.4625,0.4725,0.4850,0.4875,0.4850,0.4675,0.4875,0.5175,0.4650,0.4825,0.4900,0.4775,0.4725,0.4725,0.4825,0.4700,0.4750,0.4500,0.4800,0.4775,0.4850,0.4725,0.4800,0.5150,0.4950,0.4375,0.5150,0.4800,0.4975,0.4475,0.4950,0.4925,0.5475,0.5050,0.4700,0.5050,0.4600,0.5000,0.4925,0.5275,0.5075,0.4575,0.5050,0.5000,0.4875,0.5050,0.4700,0.5225,0.5100,0.4775,0.4900,0.5000,0.4675,0.5025,0.4850,0.4625,,0.4350,0.5475,0.4868,0.0218
1,0.0425,0.0175,0.0100,0.0450,0.0150,0.0050,0.0100,0.0325,0.0175,0.0075,0.0225,0.0600,0.0200,0.0475,0.0250,0.0325,0.0125,0.0300,0.0400,0.0275,0.0375,0.0425,0.0175,0.0200,0.0150,0.0475,0.0000,0.0050,0.0125,0.0150,0.0425,0.0225,0.0375,0.0700,0.0075,0.0450,0.0400,0.0325,0.0200,0.0050,0.0200,0.0200,0.0050,0.0250,0.0400,0.0125,0.0275,0.0150,0.0150,0.0225,0.0150,0.0200,0.0425,0.0525,0.0525,0.0400,0.0375,0.0550,0.0275,0.0150,0.0025,0.0225,0.0025,0.0375,0.0425,0.0600,0.0125,0.0275,0.0325,0.0500,0.0225,0.0125,0.0075,0.0225,0.0475,0.0475,0.0600,0.0125,0.0175,0.0050,0.0075,0.0125,0.0125,0.0300,0.0150,0.0125,0.0475,0.0275,0.0100,0.0400,0.0175,0.0150,0.0175,0.0175,0.0250,0.0125,0.0375,0.0275,0.0225,0.0350,,0.0000,0.0700,0.0260,0.0157
2,0.0250,0.0000,0.0000,0.0800,0.0150,0.0000,0.0000,0.0600,0.0025,0.0000,0.0000,0.0875,0.0150,0.0350,0.0050,0.0400,0.0400,0.0000,0.0425,0.0000,0.0475,0.0600,0.0000,0.0425,0.0000,0.0450,0.0000,0.0000,0.0000,0.0000,0.0400,0.0150,0.0150,0.0825,0.0000,0.0500,0.0625,0.0575,0.0000,0.0000,0.0150,0.0500,0.0000,0.0000,0.0500,0.0000,0.0500,0.0400,0.0000,0.0000,0.0000,0.0150,0.0800,0.0150,0.1275,0.0250,0.0400,0.1200,0.0225,0.0000,0.0000,0.0400,0.0000,0.0600,0.0000,0.0850,0.0000,0.0075,0.0900,0.1075,0.0300,0.0000,0.0000,0.0150,0.0250,0.1175,0.0625,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0150,0.0000,0.0000,0.1000,0.0000,0.0400,0.0000,0.0150,0.0000,0.0000,0.0425,0.0150,0.0000,0.0650,,0.0000,0.1275,0.0260,0.0329
3,0.0025,0.0000,0.0000,0.1800,0.0150,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.1225,0.0150,0.0700,0.0000,0.0900,0.0900,0.0000,0.0875,0.0000,0.0900,0.1200,0.0000,0.0875,0.0000,0.0950,0.0000,0.0000,0.0000,0.0000,0.1200,0.0150,0.0150,0.1475,0.0000,0.0925,0.1175,0.1075,0.0000,0.0000,0.0150,0.1050,0.0000,0.0000,0.1050,0.0000,0.1050,0.0900,0.0000,0.0000,0.0000,0.0150,0.1000,0.0150,0.2625,0.0050,0.0900,0.1825,0.0075,0.0000,0.0000,0.0900,0.0000,0.1200,0.0000,0.1750,0.0000,0.0000,0.1700,0.1925,0.0700,0.0000,0.0000,0.0150,0.0375,0.2125,0.0925,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.1600,0.0000,0.0900,0.0000,0.0150,0.0000,0.0000,0.0875,0.0150,0.0000,0.1275,,0.0000,0.2625,0.0467,0.0628
4,0.0000,0.0000,0.0000,0.3200,0.0150,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.1825,0.0150,0.1250,0.0000,0.1600,0.1600,0.0000,0.1525,0.0000,0.1600,0.2000,0.0000,0.1525,0.0000,0.1650,0.0000,0.0000,0.0000,0.0000,0.1700,0.0150,0.0150,0.2275,0.0000,0.1575,0.1925,0.1775,0.0000,0.0000,0.0150,0.1800,0.0000,0.0000,0.1800,0.0000,0.1800,0.1600,0.0000,0.0000,0.0000,0.0150,0.2000,0.0150,0.4575,0.0000,0.1600,0.2900,0.0000,0.0000,0.0000,0.1600,0.0000,0.2000,0.0000,0.2475,0.0000,0.0000,0.2900,0.3225,0.1300,0.0000,0.0000,0.0150,0.0600,0.3350,0.1525,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.2750,0.0000,0.1600,0.0000,0.0150,0.0000,0.0000,0.1525,0.0150,0.0000,0.2100,,0.0000,0.4575,0.0773,0.1058
5,0.0000,0.0000,0.0000,0.4700,0.0150,0.0000,0.0000,0.3000,0.0000,0.0000,0.0000,0.2675,0.0150,0.2000,0.0000,0.2500,0.2500,0.0000,0.2375,0.0000,0.2500,0.3000,0.0000,0.2375,0.0000,0.2550,0.0000,0.0000,0.0000,0.0000,0.3100,0.0150,0.0150,0.3275,0.0000,0.2425,0.2875,0.2575,0.0000,0.0000,0.0150,0.2750,0.0000,0.0000,0.2750,0.0000,0.2750,0.2500,0.0000,0.0000,0.0000,0.0150,0.3400,0.0150,0.5625,0.0000,0.2500,0.3725,0.0000,0.0000,0.0000,0.2500,0.0000,0.3000,0.0000,0.3925,0.0000,0.0000,0.3700,0.4850,0.2100,0.0000,0.0000,0.0150,0.0650,0.4625,0.2375,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.3700,0.0000,0.2500,0.0000,0.0150,0.0000,0.0000,0.2375,0.0150,0.0000,0.2775,,0.0000,0.5625,0.1137,0.1529
6,0.0000,0.0000,0.0000,0.6350,0.0150,0.0000,0.0000,0.4200,0.0000,0.0000,0.0000,0.3725,0.0150,0.2850,0.0000,0.3600,0.3600,0.0000,0.3375,0.0000,0.3600,0.4200,0.0000,0.3375,0.0000,0.3650,0.0000,0.0000,0.0000,0.0000,0.3750,0.0150,0.0150,0.4475,0.0000,0.3425,0.3975,0.3575,0.0000,0.0000,0.0150,0.3900,0.0000,0.0000,0.3900,0.0000,0.3900,0.3600,0.0000,0.0000,0.0000,0.0150,0.4575,0.0150,0.6550,0.0000,0.3600,0.5400,0.0000,0.0000,0.0000,0.3600,0.0000,0.4200,0.0000,0.4650,0.0000,0.0000,0.5600,0.6050,0.3100,0.0000,0.0000,0.0150,0.1000,0.6125,0.3375,0.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.5150,0.0000,0.3600,0.0000,0.0150,0.0000,0.0000,0.3375,0.0150,0.0000,0.4025,,0.0000,0.6550,0.1563,0.2078
7,0.0000,0.0000,0.0000,0.7000,0.0150,0.0000,0.0000,0.5600,0.0000,0.0000,0.0000,0.4975,0.0150,0.3900,0.0000,0.4900,0.4900,0.0000,0.4575,0.0000,0.4900,0.5600,0.0000,0.4575,0.0000,0.4950,0.0000,0.0000,0.0000,0.0000,0.5100,0.0150,0.0150,0.5875,0.0000,0.4625,0.5275,0.4775,0.0000,0.0000,0.0150,0.5250,0.0000,0.0000,0.5250,0.0000,0.5250,0.4900,0.0000,0.0000,0.0000,0.0150,0.5450,0.0150,0.7025,0.0000,0.4900,0.6600,0.0000,0.0000,0.0000,0.4900,0.0000,0.5600,0.0000,0.5575,0.0000,0.0000,0.6500,0.6800,0.4300,0.0000,0.0000,0.0150,0.1725,0.6950,0.4575,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.6550,0.0000,0.4900,0.0000,0.0150,0.0000,0.0000,0.4575,0.0150,0.0000,0.5375,,0.0000,0.7025,0.2010,0.2618
8,0.0000,0.0000,0.0000,0.7650,0.0150,0.0000,0.0000,0.7200,0.0000,0.0000,0.0000,0.6375,0.0150,0.5200,0.0000,0.6400,0.6400,0.0000,0.5975,0.0000,0.6400,0.7200,0.0000,0.5975,0.0000,0.6450,0.0000,0.0000,0.0000,0.0000,0.6700,0.0150,0.0150,0.7475,0.0000,0.6025,0.6775,0.6175,0.0000,0.0000,0.0150,0.6800,0.0000,0.0000,0.6800,0.0000,0.6800,0.6400,0.0000,0.0000,0.0000,0.0150,0.6450,0.0150,0.6875,0.0000,0.6400,0.7350,0.0000,0.0000,0.0000,0.6400,0.0000,0.7200,0.0000,0.6475,0.0000,0.0000,0.7500,0.7525,0.5700,0.0000,0.0000,0.0150,0.2550,0.7425,0.5975,0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7150,0.0000,0.6400,0.0000,0.0150,0.0000,0.0000,0.5975,0.0150,0.0000,0.6200,,0.0000,0.7650,0.2488,0.3204
9,0.0000,0.0000,0.0000,0.7250,0.0150,0.0000,0.0000,0.9000,0.0000,0.0000,0.0000,0.7550,0.0150,0.6700,0.0000,0.8100,0.8100,0.0000,0.7575,0.0000,0.8100,0.9000,0.0000,0.7575,0.0000,0.8150,0.0000,0.0000,0.0000,0.0000,0.6550,0.0150,0.0150,0.9275,0.0000,0.7625,0.8475,0.7775,0.0000,0.0000,0.0150,0.8550,0.0000,0.0000,0.8550,0.0000,0.8550,0.8100,0.0000,0.0000,0.0000,0.0150,0.6725,0.0150,0.7525,0.0000,0.8100,0.7600,0.0000,0.0000,0.0000,0.8100,0.0000,0.9000,0.0000,0.7075,0.0000,0.0000,0.6375,0.7375,0.7300,0.0000,0.0000,0.0150,0.3550,0.7125,0.7575,0.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7600,0.0000,0.8100,0.0000,0.0150,0.0000,0.0000,0.7575,0.0150,0.0000,0.7425,,0.0000,0.9275,0.2944,0.3793
10,0.0000,0.0000,0.0000,0.7450,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8900,0.0150,0.8400,0.0000,1.0000,1.0000,0.0000,0.9375,0.0000,1.0000,1.0000,0.0000,0.9375,0.0000,0.8150,0.0000,0.0000,0.0000,0.0000,0.8425,0.0150,0.0150,0.7675,0.0000,0.9125,0.8825,0.9500,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7875,0.0150,0.6875,0.0000,1.0000,0.7325,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.8125,0.0000,0.0000,0.7175,0.7650,0.9100,0.0000,0.0000,0.0150,0.4625,0.7475,0.9375,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.6875,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9375,0.0150,0.0000,0.7500,,0.0000,1.0000,0.3317,0.4292
11,0.0000,0.0000,0.0000,0.7400,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8850,0.0150,0.9850,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8125,0.0000,0.0000,0.0000,0.0000,0.6250,0.0150,0.0150,0.8950,0.0000,0.7550,0.8700,0.7925,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7150,0.0150,0.7675,0.0000,1.0000,0.7375,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7300,0.0000,0.0000,0.7125,0.7350,0.7225,0.0000,0.0000,0.0150,0.6325,0.6775,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7950,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7425,,0.0000,1.0000,0.3253,0.4212
12,0.0000,0.0000,0.0000,0.7400,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8400,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.8250,0.0150,0.0150,0.7675,0.0000,0.8850,0.8700,0.8250,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7150,0.0150,0.6900,0.0000,1.0000,0.7500,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7825,0.0000,0.0000,0.8075,0.7700,0.9025,0.0000,0.0000,0.0150,0.8300,0.7225,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7600,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.8075,,0.0000,1.0000,0.3339,0.4296
13,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9000,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8250,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7725,0.8700,0.8475,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7500,0.0150,0.7500,0.0000,1.0000,0.7600,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7575,0.0000,0.0000,0.7475,0.8100,0.7225,0.0000,0.0000,0.0150,0.7725,0.7250,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8000,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7600,,0.0000,1.0000,0.3305,0.4262
14,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8225,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8925,0.8700,0.7875,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7350,0.0150,0.7275,0.0000,1.0000,0.7575,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7925,0.0000,0.0000,0.8075,0.7250,0.9025,0.0000,0.0000,0.0150,0.7625,0.7675,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7275,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.7825,,0.0000,1.0000,0.3331,0.4286
15,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9075,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8225,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7700,0.8700,0.8075,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7500,0.0150,0.7550,0.0000,1.0000,0.7600,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7575,0.0000,0.0000,0.7650,0.7825,0.7225,0.0000,0.0000,0.0150,0.7900,0.6975,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8075,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7975,,0.0000,1.0000,0.3304,0.4262
16,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8175,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8900,0.8700,0.8400,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7850,0.0150,0.7275,0.0000,1.0000,0.7825,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7650,0.0000,0.0000,0.8025,0.7425,0.9025,0.0000,0.0000,0.0150,0.8250,0.7775,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7550,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.7850,,0.0000,1.0000,0.3352,0.4308
17,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9050,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8225,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7725,0.8700,0.8025,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7125,0.0150,0.7575,0.0000,1.0000,0.7675,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7525,0.0000,0.0000,0.7825,0.7650,0.7225,0.0000,0.0000,0.0150,0.7650,0.7225,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8050,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7900,,0.0000,1.0000,0.3299,0.4256
18,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8175,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8925,0.8700,0.8300,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7350,0.0150,0.7225,0.0000,1.0000,0.7650,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7475,0.0000,0.0000,0.8000,0.7550,0.9025,0.0000,0.0000,0.0150,0.7925,0.7800,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7575,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.8250,,0.0000,1.0000,0.3344,0.4300
19,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9050,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8225,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7700,0.8700,0.8450,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7375,0.0150,0.7650,0.0000,1.0000,0.7600,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7450,0.0000,0.0000,0.7800,0.7950,0.7225,0.0000,0.0000,0.0150,0.8150,0.7150,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8025,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7700,,0.0000,1.0000,0.3310,0.4268
20,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8175,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8900,0.8700,0.7850,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7550,0.0150,0.7200,0.0000,1.0000,0.7700,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7650,0.0000,0.0000,0.8025,0.7550,0.9025,0.0000,0.0000,0.0150,0.7925,0.7925,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7550,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.8425,,0.0000,1.0000,0.3347,0.4302
21,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9050,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8225,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7725,0.8700,0.7975,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7175,0.0150,0.7575,0.0000,1.0000,0.7450,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7650,0.0000,0.0000,0.7925,0.7875,0.7225,0.0000,0.0000,0.0150,0.7875,0.7100,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8050,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7525,,0.0000,1.0000,0.3299,0.4256
22,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8175,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8925,0.8700,0.8900,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7525,0.0150,0.7300,0.0000,1.0000,0.7775,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7700,0.0000,0.0000,0.7950,0.7725,0.9025,0.0000,0.0000,0.0150,0.8175,0.7900,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7575,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.8125,,0.0000,1.0000,0.3360,0.4317
23,0.0000,0.0000,0.0000,0.7850,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9050,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,1.0000,1.0000,0.0000,0.7975,0.0000,0.8225,0.0000,0.0000,0.0000,0.0000,0.6300,0.0150,0.0150,0.8950,0.0000,0.7700,0.8700,0.7525,0.0000,0.0000,0.0150,0.9500,0.0000,0.0000,0.9500,0.0000,0.9500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7375,0.0150,0.7525,0.0000,1.0000,0.7450,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7450,0.0000,0.0000,0.7925,0.8025,0.7225,0.0000,0.0000,0.0150,0.7925,0.7200,0.7975,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.8025,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.7975,0.0150,0.0000,0.7775,,0.0000,1.0000,0.3299,0.4256
24,0.0000,0.0000,0.0000,0.7700,0.0150,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.8175,0.0150,0.9600,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,1.0000,1.0000,0.0000,0.9050,0.0000,0.7975,0.0000,0.0000,0.0000,0.0000,0.8200,0.0150,0.0150,0.7675,0.0000,0.8900,0.8700,0.8825,0.0000,0.0000,0.0150,0.8500,0.0000,0.0000,0.8500,0.0000,0.8500,1.0000,0.0000,0.0000,0.0000,0.0150,0.7525,0.0150,0.7275,0.0000,1.0000,0.7875,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.7700,0.0000,0.0000,0.7975,0.7775,0.9025,0.0000,0.0000,0.0150,0.8050,0.7750,0.9050,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.7550,0.0000,1.0000,0.0000,0.0150,0.0000,0.0000,0.9050,0.0150,0.0000,0.7925,,0.0000,1.0000,0.3355,0.4312
