round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
74,0.5000,0.3906,0.5000,0.4375,0.3906,0.3438,0.5313,0.4531,0.5313,0.4375,0.7031,0.4219,0.5313,0.6406,0.4063,0.5781,0.4531,0.5156,0.4688,0.5156,0.5156,0.5156,0.5469,0.4375,0.4375,0.5000,0.4844,0.4531,0.5000,0.3594,0.4844,0.4219,0.4063,0.5469,0.2969,0.4688,0.5156,0.5156,0.4375,0.5313,0.5156,0.5781,0.5625,0.4688,0.4219,0.4844,0.3906,0.4844,0.5313,0.5156,0.4063,0.5156,0.4219,0.4219,0.3750,0.3594,0.5469,0.5000,0.5156,0.3281,0.4531,0.3906,0.4375,0.4531,0.3906,0.5000,0.5313,0.3906,0.5000,0.5000,0.5156,0.4844,0.4219,0.5625,0.5625,0.4531,0.4844,0.5000,0.3125,0.5469,0.4375,0.4688,0.4531,0.4531,0.5156,0.6563,0.4063,0.6406,0.4219,0.4531,0.5000,0.5313,0.3906,0.4531,0.5313,0.4531,0.4375,0.2656,0.5156,0.5313,,0.2656,0.7031,0.4738,0.0741
75,0.4219,0.4531,0.4844,0.4219,0.4375,0.5156,0.4844,0.3906,0.4531,0.4531,0.5781,0.5156,0.5313,0.5000,0.3281,0.5625,0.4688,0.5625,0.5156,0.4844,0.4844,0.5000,0.5781,0.5000,0.4688,0.3750,0.4688,0.5313,0.3281,0.3906,0.5469,0.4531,0.4688,0.4531,0.4688,0.3906,0.5781,0.4375,0.5156,0.4844,0.4688,0.4375,0.4063,0.5156,0.4375,0.4844,0.4063,0.4219,0.4844,0.6094,0.3906,0.3906,0.4219,0.4688,0.4219,0.4063,0.4844,0.5781,0.4688,0.3906,0.3594,0.3281,0.4219,0.4375,0.3750,0.4844,0.4688,0.3750,0.3906,0.3750,0.5000,0.5000,0.5000,0.5469,0.5313,0.3594,0.3750,0.5938,0.3906,0.6094,0.5469,0.4688,0.5000,0.3906,0.5625,0.6250,0.5313,0.5156,0.4063,0.4844,0.5000,0.4531,0.4844,0.4375,0.4375,0.4063,0.3594,0.3750,0.4688,0.5469,,0.3281,0.6250,0.4650,0.0682
76,0.4219,0.5313,0.4688,0.4844,0.3125,0.4844,0.4844,0.5313,0.4531,0.4375,0.6094,0.3281,0.5000,0.6250,0.3906,0.5469,0.5000,0.4844,0.5313,0.5156,0.4531,0.5000,0.5313,0.5625,0.3750,0.4375,0.5156,0.5469,0.5156,0.5781,0.5313,0.4688,0.3750,0.5000,0.4688,0.4688,0.5313,0.5313,0.5000,0.4688,0.5625,0.5938,0.3750,0.3750,0.5000,0.5000,0.4531,0.4063,0.4375,0.4531,0.4531,0.3594,0.4688,0.4375,0.5000,0.4219,0.4531,0.5156,0.4844,0.4375,0.4219,0.4063,0.4375,0.4375,0.4844,0.4531,0.5781,0.4375,0.3438,0.4063,0.5313,0.5625,0.5000,0.4531,0.4844,0.3906,0.3438,0.5625,0.5469,0.5156,0.4844,0.4531,0.3906,0.4844,0.5938,0.5313,0.5313,0.5000,0.5156,0.5469,0.4063,0.6094,0.4844,0.5000,0.5000,0.4219,0.4844,0.4688,0.5625,0.4219,,0.3125,0.6250,0.4788,0.0653
77,0.3438,0.4844,0.4688,0.4063,0.3281,0.6406,0.5156,0.4219,0.4844,0.4531,0.4375,0.5000,0.3438,0.5469,0.4063,0.5156,0.4063,0.4688,0.4531,0.4688,0.4375,0.5156,0.4844,0.6094,0.5313,0.4688,0.5000,0.6094,0.5156,0.6094,0.4844,0.5000,0.4688,0.5000,0.4688,0.5625,0.5000,0.4688,0.4375,0.5313,0.4844,0.4688,0.3906,0.4375,0.5156,0.4531,0.3906,0.3906,0.4375,0.5625,0.4063,0.4531,0.5313,0.4688,0.6094,0.4531,0.5313,0.5000,0.4375,0.4063,0.5156,0.3594,0.4375,0.5469,0.4063,0.5000,0.4375,0.5781,0.3750,0.5469,0.5938,0.4688,0.4844,0.4844,0.4531,0.4531,0.3438,0.5313,0.5313,0.4063,0.4531,0.4219,0.4844,0.5938,0.4844,0.4375,0.4531,0.4844,0.4844,0.4531,0.4063,0.5781,0.3906,0.4063,0.5000,0.4844,0.5000,0.4688,0.5000,0.5625,,0.3281,0.6406,0.4763,0.0647
78,0.4063,0.5156,0.4063,0.4844,0.3281,0.5938,0.3594,0.4375,0.5469,0.3750,0.4375,0.5156,0.4531,0.5469,0.4063,0.5313,0.4688,0.4688,0.4375,0.3906,0.4531,0.5469,0.4688,0.5781,0.5469,0.4219,0.3125,0.5313,0.4375,0.5469,0.3750,0.4688,0.4531,0.4531,0.4531,0.5156,0.3750,0.4688,0.4844,0.5313,0.4063,0.4844,0.4063,0.4844,0.5313,0.3906,0.4375,0.3281,0.4844,0.5781,0.4844,0.5156,0.5000,0.4219,0.5156,0.5469,0.4375,0.4844,0.4688,0.4844,0.4688,0.3906,0.3438,0.4688,0.3906,0.5469,0.5156,0.5781,0.4375,0.4063,0.5469,0.5313,0.5000,0.4844,0.4375,0.4844,0.4375,0.4844,0.5313,0.5000,0.4531,0.4219,0.5313,0.6406,0.3750,0.4375,0.5156,0.5000,0.4063,0.5469,0.4063,0.5000,0.3750,0.3438,0.5313,0.6250,0.4531,0.3750,0.4063,0.5469,,0.3125,0.6406,0.4680,0.0680
79,0.4844,0.4688,0.3438,0.5000,0.3906,0.3906,0.4531,0.4063,0.5313,0.4531,0.4844,0.4688,0.4531,0.4531,0.4531,0.4844,0.4219,0.3750,0.3438,0.5156,0.5469,0.5781,0.5156,0.5313,0.5156,0.4844,0.3906,0.4844,0.4688,0.4688,0.6250,0.4688,0.4688,0.4688,0.5156,0.4375,0.4531,0.4219,0.4688,0.4688,0.4219,0.5469,0.4219,0.4063,0.4531,0.3906,0.4219,0.3281,0.4531,0.4531,0.5156,0.4219,0.4844,0.4844,0.3906,0.5625,0.5000,0.4531,0.5313,0.5000,0.4688,0.5000,0.4531,0.5313,0.4219,0.5781,0.3906,0.4844,0.5156,0.5156,0.5469,0.5156,0.5469,0.4688,0.4688,0.5938,0.5156,0.3906,0.4375,0.4844,0.5000,0.3906,0.5938,0.5781,0.3281,0.4375,0.5000,0.5469,0.3906,0.4531,0.3125,0.5469,0.4375,0.3906,0.5625,0.5469,0.4219,0.4063,0.2969,0.6250,,0.2969,0.6250,0.4689,0.0675
80,0.5313,0.4063,0.4688,0.5469,0.5000,0.3594,0.4844,0.4688,0.5625,0.3594,0.4688,0.5000,0.4844,0.5156,0.4844,0.4063,0.3906,0.3594,0.3594,0.4063,0.3594,0.5469,0.3906,0.5156,0.4531,0.4375,0.3906,0.5156,0.5000,0.5781,0.4531,0.5156,0.4063,0.4688,0.4531,0.4688,0.4375,0.5000,0.5000,0.3594,0.4844,0.4688,0.4375,0.4375,0.4375,0.3281,0.4063,0.4531,0.4844,0.4375,0.4375,0.4531,0.5313,0.4844,0.4219,0.4844,0.3750,0.4375,0.5000,0.5313,0.5000,0.5469,0.4688,0.5000,0.4375,0.5313,0.4219,0.5156,0.5000,0.5313,0.5469,0.5313,0.4531,0.4688,0.4688,0.5469,0.4688,0.3281,0.3906,0.4688,0.5625,0.4063,0.5781,0.5156,0.4063,0.5313,0.5469,0.4844,0.5313,0.4844,0.4688,0.4531,0.3594,0.5469,0.5469,0.4219,0.3750,0.3125,0.4531,0.5000,,0.3125,0.5781,0.4645,0.0619
81,0.5000,0.4844,0.4688,0.4844,0.4844,0.3125,0.4531,0.4219,0.4688,0.4688,0.6250,0.4531,0.5469,0.4063,0.4375,0.3750,0.4531,0.3438,0.3594,0.4688,0.4063,0.5313,0.3906,0.4844,0.4531,0.4375,0.4531,0.4063,0.5156,0.5156,0.4219,0.4063,0.4375,0.5156,0.5313,0.5313,0.5625,0.4688,0.6250,0.2656,0.4063,0.4688,0.5156,0.4688,0.4375,0.5781,0.4688,0.4531,0.4375,0.5469,0.4531,0.5938,0.4219,0.5313,0.4219,0.4375,0.3594,0.5000,0.3906,0.5469,0.4219,0.3906,0.4531,0.4844,0.5156,0.5156,0.4844,0.4844,0.5156,0.4688,0.5313,0.4844,0.5313,0.6094,0.4531,0.5469,0.3906,0.2969,0.4219,0.6094,0.4531,0.5313,0.4688,0.4063,0.5469,0.6094,0.5625,0.4844,0.4063,0.4844,0.4844,0.4844,0.4063,0.6250,0.5313,0.3750,0.4844,0.4063,0.4375,0.4531,,0.2656,0.6250,0.4706,0.0707
82,0.4688,0.4531,0.5000,0.4063,0.4375,0.4063,0.4844,0.4063,0.5156,0.4844,0.6406,0.4063,0.4219,0.4219,0.4844,0.4375,0.4844,0.4375,0.3594,0.5156,0.3438,0.4375,0.4531,0.5938,0.3906,0.4688,0.4219,0.5625,0.4844,0.4063,0.5156,0.4531,0.3438,0.4844,0.5781,0.5000,0.5313,0.5313,0.5000,0.2813,0.4063,0.4531,0.6719,0.4375,0.5469,0.5469,0.5156,0.4688,0.4688,0.5156,0.4844,0.5781,0.3281,0.5156,0.3906,0.4844,0.3594,0.5469,0.4531,0.4688,0.4375,0.4531,0.4688,0.5469,0.4375,0.5313,0.4844,0.5781,0.4688,0.3906,0.5938,0.5469,0.5781,0.4688,0.5313,0.5156,0.3438,0.4219,0.4063,0.6094,0.4375,0.5313,0.4219,0.4063,0.6406,0.5625,0.5156,0.5938,0.4063,0.4531,0.4219,0.4219,0.4219,0.5938,0.5469,0.3750,0.5156,0.4844,0.4531,0.5156,,0.2813,0.6719,0.4763,0.0739
83,0.4688,0.4219,0.4063,0.4531,0.4531,0.4063,0.4688,0.4375,0.5938,0.4688,0.5938,0.5469,0.5313,0.4844,0.6094,0.4219,0.6094,0.4219,0.4844,0.4844,0.4844,0.5313,0.4375,0.5000,0.5313,0.4531,0.4844,0.4219,0.4688,0.4063,0.4688,0.4844,0.3594,0.4375,0.4688,0.4219,0.5313,0.4688,0.5156,0.3281,0.3906,0.4531,0.7344,0.5000,0.5156,0.4844,0.5625,0.4375,0.5625,0.4844,0.5313,0.5313,0.3281,0.5313,0.4219,0.4531,0.4063,0.4531,0.4375,0.4531,0.4844,0.4531,0.3750,0.6094,0.5313,0.5313,0.5000,0.5000,0.4688,0.3906,0.5938,0.4844,0.5938,0.4219,0.4688,0.4844,0.4531,0.4063,0.3750,0.4063,0.6406,0.4219,0.4688,0.3594,0.5156,0.6250,0.4063,0.7188,0.4375,0.5313,0.3906,0.4688,0.3438,0.6406,0.4844,0.3906,0.4844,0.5156,0.4219,0.5156,,0.3281,0.7344,0.4795,0.0768
84,0.3906,0.5000,0.3750,0.4219,0.5469,0.4375,0.4531,0.5000,0.4531,0.3750,0.5781,0.4844,0.5000,0.5469,0.5000,0.5000,0.4375,0.4531,0.3906,0.4219,0.4844,0.4688,0.5625,0.4688,0.4844,0.3906,0.4688,0.4531,0.4531,0.4219,0.6094,0.6250,0.2500,0.3906,0.3281,0.4375,0.3906,0.5000,0.5000,0.4844,0.4375,0.4063,0.6250,0.4375,0.4531,0.4844,0.3906,0.4063,0.4375,0.4844,0.5156,0.5000,0.5469,0.5000,0.3594,0.3906,0.3906,0.5156,0.4844,0.4688,0.4375,0.5000,0.4688,0.4375,0.5469,0.6094,0.5156,0.3438,0.5625,0.4375,0.4375,0.5781,0.6406,0.5000,0.4844,0.3438,0.4844,0.4219,0.4063,0.3906,0.5938,0.4063,0.4688,0.3438,0.4688,0.5625,0.4219,0.5313,0.4688,0.5938,0.4531,0.4375,0.3906,0.5313,0.4375,0.5000,0.4844,0.5313,0.4063,0.4688,,0.2500,0.6406,0.4672,0.0714
85,0.3906,0.4688,0.4063,0.4531,0.5156,0.3594,0.4219,0.5781,0.5313,0.4688,0.6406,0.4844,0.5156,0.4063,0.4063,0.3594,0.4844,0.4688,0.5313,0.4688,0.4844,0.3281,0.3906,0.4531,0.4219,0.2969,0.4375,0.5156,0.4531,0.5000,0.4531,0.5781,0.3750,0.3438,0.4375,0.5469,0.3438,0.5000,0.4844,0.3594,0.3750,0.3281,0.5000,0.4688,0.5000,0.4375,0.4375,0.3750,0.6563,0.4531,0.5000,0.4219,0.5469,0.6094,0.5156,0.4063,0.4063,0.4844,0.4063,0.4375,0.4531,0.4844,0.4688,0.5156,0.5625,0.5000,0.4375,0.3438,0.4688,0.4688,0.4531,0.5625,0.5938,0.5469,0.4375,0.3438,0.5156,0.4219,0.4531,0.3750,0.5625,0.4688,0.3438,0.4844,0.4375,0.4375,0.6094,0.4219,0.5469,0.4844,0.3906,0.4688,0.3750,0.5000,0.5000,0.5469,0.3750,0.4063,0.4375,0.4375,,0.2969,0.6563,0.4597,0.0731
86,0.6719,0.5938,0.4531,0.4844,0.4375,0.3594,0.4844,0.5313,0.5625,0.4063,0.5313,0.5000,0.4844,0.4375,0.4531,0.4375,0.4219,0.4844,0.7188,0.3906,0.5156,0.4219,0.4531,0.3906,0.4219,0.3281,0.4219,0.5000,0.5313,0.6406,0.4219,0.5469,0.4531,0.5313,0.5469,0.5938,0.3125,0.5625,0.5000,0.5313,0.4063,0.3750,0.4688,0.4531,0.5000,0.4844,0.4688,0.4063,0.4688,0.4531,0.5469,0.4688,0.5781,0.5625,0.5469,0.3438,0.4688,0.5156,0.5156,0.4219,0.4688,0.5000,0.5313,0.4688,0.4531,0.5000,0.3906,0.3281,0.4688,0.5000,0.4375,0.5625,0.5469,0.4844,0.3750,0.4219,0.4844,0.4531,0.4688,0.5000,0.4844,0.5469,0.4688,0.4375,0.4375,0.4375,0.4375,0.4531,0.5625,0.4688,0.4219,0.4219,0.4688,0.4531,0.3750,0.5156,0.4531,0.4688,0.3750,0.4375,,0.3125,0.7188,0.4739,0.0699
87,0.6719,0.5156,0.5313,0.3906,0.4063,0.4531,0.4063,0.5625,0.4531,0.4844,0.4531,0.4531,0.4688,0.3594,0.4531,0.3906,0.5156,0.3438,0.6094,0.3906,0.5000,0.3594,0.5000,0.4688,0.5469,0.4219,0.4688,0.5156,0.5625,0.6406,0.5156,0.5000,0.3750,0.5000,0.4219,0.5313,0.3750,0.5156,0.4375,0.5781,0.4219,0.4375,0.4063,0.4844,0.5938,0.4375,0.5313,0.3906,0.5000,0.3906,0.5469,0.3750,0.4844,0.5625,0.4375,0.4844,0.4688,0.5000,0.5781,0.5000,0.3594,0.3906,0.5000,0.5469,0.5000,0.4844,0.4531,0.3906,0.5781,0.4688,0.5781,0.4063,0.4063,0.4375,0.5156,0.5156,0.4219,0.3438,0.5313,0.4375,0.3750,0.5469,0.3906,0.3906,0.4219,0.3750,0.4375,0.4531,0.5625,0.4219,0.5000,0.4688,0.5156,0.5000,0.3125,0.4063,0.5313,0.5313,0.5000,0.5313,,0.3125,0.6719,0.4702,0.0716
88,0.7188,0.4844,0.4219,0.4219,0.3750,0.6250,0.4688,0.5938,0.3906,0.4688,0.4688,0.4219,0.4688,0.3750,0.5000,0.5156,0.3438,0.4531,0.4688,0.5313,0.5000,0.3594,0.3906,0.5313,0.4844,0.4688,0.5469,0.5000,0.5469,0.5156,0.5625,0.5313,0.3750,0.4063,0.3594,0.5000,0.4688,0.4688,0.3906,0.5469,0.4844,0.5469,0.4688,0.4844,0.4531,0.4375,0.4219,0.4688,0.5000,0.4531,0.4063,0.4219,0.5156,0.4688,0.5000,0.4844,0.4844,0.4375,0.5000,0.3438,0.5000,0.4375,0.5313,0.5000,0.4531,0.4688,0.4063,0.4375,0.5781,0.3750,0.4688,0.4375,0.5469,0.3906,0.4063,0.5156,0.4219,0.5156,0.4063,0.4063,0.5313,0.4844,0.3438,0.5000,0.4219,0.5469,0.5000,0.6250,0.5938,0.5000,0.4844,0.4688,0.5156,0.5469,0.4219,0.5000,0.4688,0.5000,0.5156,0.3750,,0.3438,0.7188,0.4730,0.0667
89,0.5938,0.4375,0.4063,0.4375,0.3906,0.5313,0.5625,0.5938,0.3906,0.4531,0.4844,0.4531,0.5156,0.5313,0.5000,0.4063,0.3906,0.5156,0.5000,0.3906,0.5625,0.5000,0.4688,0.5000,0.4844,0.4219,0.4844,0.4375,0.4688,0.4688,0.4688,0.3906,0.4375,0.4688,0.5000,0.4688,0.4219,0.3906,0.4063,0.4844,0.5000,0.4375,0.4063,0.5469,0.4688,0.5000,0.4844,0.5781,0.5000,0.4531,0.3906,0.4531,0.4844,0.4844,0.5625,0.3750,0.4844,0.4063,0.4688,0.3750,0.4531,0.5000,0.4844,0.4688,0.5469,0.5000,0.4063,0.4219,0.5313,0.5781,0.5156,0.4063,0.5469,0.3906,0.5156,0.5156,0.4375,0.5781,0.4531,0.3906,0.5781,0.4219,0.3906,0.5313,0.4375,0.5313,0.5000,0.6250,0.5313,0.5000,0.4219,0.3750,0.5156,0.4375,0.3438,0.5469,0.4219,0.4375,0.4063,0.4531,,0.3438,0.6250,0.4713,0.0605
90,0.4688,0.4688,0.4688,0.4688,0.3594,0.5156,0.4844,0.6250,0.4063,0.4219,0.3281,0.5000,0.5469,0.6406,0.4688,0.4219,0.3750,0.4219,0.3281,0.4688,0.4063,0.5469,0.4531,0.4688,0.5156,0.4688,0.4219,0.4375,0.5469,0.5156,0.3906,0.4375,0.4063,0.5781,0.5000,0.4219,0.4375,0.4063,0.4375,0.3125,0.5469,0.5313,0.4844,0.5469,0.5625,0.5156,0.5469,0.5625,0.4375,0.4688,0.5000,0.4375,0.4688,0.4531,0.5000,0.3906,0.4375,0.4375,0.5156,0.4688,0.4375,0.3750,0.4844,0.5000,0.3906,0.5781,0.5469,0.4219,0.4844,0.6094,0.4688,0.4375,0.4844,0.3750,0.5938,0.4688,0.4219,0.5000,0.4375,0.4688,0.6250,0.3906,0.5156,0.5469,0.4219,0.4688,0.4219,0.5000,0.4688,0.3750,0.4531,0.3906,0.5000,0.3906,0.5000,0.5469,0.5313,0.4375,0.4063,0.4375,,0.3125,0.6406,0.4692,0.0668
91,0.6094,0.4531,0.4531,0.5469,0.5625,0.4531,0.5625,0.4844,0.4688,0.5469,0.3906,0.4688,0.4375,0.6250,0.4844,0.4688,0.4063,0.3438,0.4531,0.5156,0.4375,0.4688,0.4688,0.5000,0.5469,0.5469,0.4219,0.5000,0.3594,0.4688,0.3750,0.4844,0.4531,0.6094,0.4375,0.4688,0.4219,0.3906,0.4375,0.4375,0.6094,0.3750,0.4375,0.3750,0.5000,0.4531,0.4063,0.5625,0.4688,0.3281,0.5625,0.4531,0.5156,0.4063,0.4531,0.4375,0.4375,0.4844,0.4375,0.4219,0.5000,0.3438,0.5625,0.4531,0.4531,0.4219,0.5938,0.5469,0.5000,0.5313,0.5469,0.4219,0.3750,0.3438,0.4844,0.4063,0.5156,0.5156,0.5156,0.4375,0.4844,0.4375,0.4219,0.4063,0.4844,0.4063,0.3906,0.4688,0.3594,0.4063,0.4844,0.2813,0.3906,0.3594,0.5625,0.4688,0.5000,0.4063,0.3750,0.5313,,0.2813,0.6250,0.4619,0.0692
92,0.6094,0.4063,0.5156,0.5781,0.5625,0.5000,0.5469,0.5000,0.4688,0.5156,0.4063,0.5156,0.4219,0.5156,0.5156,0.5313,0.4375,0.4219,0.4063,0.5156,0.5781,0.4844,0.4063,0.4688,0.4375,0.5000,0.3906,0.5156,0.4844,0.4531,0.4688,0.5000,0.5781,0.5313,0.5781,0.4375,0.5000,0.3438,0.3750,0.4531,0.5156,0.4375,0.4375,0.5156,0.4375,0.4844,0.4531,0.4844,0.4688,0.3281,0.4063,0.3906,0.5156,0.4531,0.5469,0.4844,0.5156,0.4375,0.4531,0.5156,0.4219,0.3438,0.4531,0.4688,0.4375,0.5000,0.4844,0.5469,0.5313,0.4219,0.5000,0.5156,0.3125,0.3438,0.3125,0.4844,0.5313,0.4844,0.4063,0.4063,0.3594,0.4063,0.3750,0.3594,0.5313,0.4844,0.3750,0.5313,0.4531,0.5469,0.3438,0.3906,0.3906,0.4219,0.5000,0.4219,0.4844,0.4063,0.4219,0.5469,,0.3125,0.6094,0.4631,0.0660
93,0.4844,0.4531,0.5469,0.4844,0.5156,0.5313,0.5156,0.5469,0.5313,0.4375,0.5156,0.5156,0.5313,0.5000,0.4063,0.4688,0.5000,0.4531,0.5000,0.4688,0.5000,0.3594,0.5000,0.5313,0.3438,0.5313,0.5781,0.4844,0.5000,0.4531,0.3906,0.4375,0.5156,0.5625,0.5938,0.4531,0.5625,0.4063,0.3594,0.4063,0.5938,0.3594,0.4219,0.3750,0.4688,0.3906,0.4219,0.3750,0.5625,0.5000,0.4375,0.3906,0.5156,0.4375,0.5313,0.4531,0.5469,0.5156,0.4844,0.5313,0.4219,0.3750,0.5313,0.4375,0.4688,0.4219,0.5000,0.4531,0.6250,0.3281,0.5000,0.4375,0.3594,0.3750,0.4844,0.4688,0.5625,0.4531,0.4219,0.3906,0.4063,0.3750,0.4219,0.4219,0.4688,0.5156,0.5625,0.6094,0.5625,0.5313,0.4375,0.3438,0.4844,0.3906,0.4219,0.4375,0.5313,0.5313,0.4219,0.6094,,0.3281,0.6250,0.4719,0.0686
94,0.4375,0.4531,0.5156,0.5156,0.5156,0.5313,0.3750,0.4375,0.3906,0.5469,0.5156,0.4688,0.5625,0.5156,0.5156,0.4531,0.5000,0.3281,0.5000,0.4688,0.4844,0.4219,0.4531,0.5938,0.3281,0.6094,0.4375,0.5781,0.3125,0.4844,0.4375,0.4063,0.3438,0.5313,0.5156,0.5156,0.5313,0.3594,0.4531,0.3438,0.5469,0.3750,0.5313,0.4688,0.4844,0.4688,0.4375,0.5313,0.4531,0.5000,0.4531,0.3750,0.3438,0.3906,0.5469,0.4219,0.5469,0.4219,0.4219,0.5156,0.4375,0.3906,0.5781,0.4688,0.5000,0.4844,0.5156,0.4688,0.5156,0.3750,0.4844,0.4375,0.3906,0.4375,0.4844,0.4531,0.5625,0.4844,0.5313,0.3594,0.4688,0.4531,0.4844,0.3906,0.5156,0.5000,0.4531,0.5156,0.4688,0.5469,0.3594,0.4375,0.4063,0.3594,0.4688,0.5156,0.5313,0.5156,0.3906,0.5469,,0.3125,0.6094,0.4661,0.0665
95,0.3906,0.3906,0.4531,0.4688,0.4375,0.5469,0.4375,0.3594,0.4063,0.5156,0.5781,0.4688,0.5313,0.4688,0.4375,0.4219,0.4688,0.3438,0.5625,0.4688,0.4844,0.3906,0.4688,0.5156,0.4219,0.5938,0.4844,0.4688,0.3281,0.5000,0.4063,0.4688,0.4063,0.5469,0.5156,0.5313,0.4688,0.5000,0.4219,0.3438,0.3906,0.4063,0.5000,0.5313,0.3906,0.5156,0.4688,0.5313,0.3438,0.4063,0.5156,0.5625,0.4063,0.3438,0.5469,0.5000,0.4531,0.5469,0.5625,0.5938,0.4219,0.4063,0.5156,0.4219,0.3906,0.4531,0.5625,0.4531,0.5156,0.3750,0.4688,0.3594,0.4531,0.3594,0.4531,0.4063,0.4375,0.6250,0.5469,0.3906,0.3750,0.4844,0.5313,0.4375,0.4219,0.4688,0.4531,0.4844,0.3750,0.4844,0.3906,0.5156,0.5000,0.4219,0.5000,0.5000,0.3281,0.4688,0.5000,0.5625,,0.3281,0.6250,0.4616,0.0674
96,0.3906,0.4531,0.4063,0.5000,0.4688,0.4844,0.4531,0.5156,0.4375,0.4844,0.5938,0.4219,0.4531,0.4063,0.3750,0.4844,0.5000,0.4375,0.4844,0.5469,0.3750,0.3906,0.4375,0.4844,0.4375,0.5469,0.5000,0.4688,0.3594,0.5156,0.3438,0.5156,0.4844,0.4688,0.4375,0.4531,0.4063,0.5156,0.4375,0.4688,0.3906,0.4531,0.3906,0.4375,0.5469,0.5000,0.4063,0.4844,0.5469,0.3281,0.5313,0.5781,0.4375,0.4688,0.4531,0.5000,0.4531,0.5625,0.5469,0.4531,0.4531,0.3750,0.5625,0.3125,0.4219,0.4844,0.5469,0.4219,0.6094,0.3906,0.4844,0.3750,0.4375,0.3906,0.4688,0.5000,0.4375,0.6250,0.4219,0.3125,0.4375,0.5625,0.5938,0.4063,0.5469,0.4688,0.5000,0.5156,0.4688,0.3281,0.3594,0.5313,0.5469,0.5313,0.4375,0.4688,0.4063,0.3125,0.5313,0.6094,,0.3125,0.6250,0.4641,0.0701
97,0.4219,0.4844,0.5469,0.5156,0.5156,0.3906,0.6406,0.5938,0.5313,0.5469,0.5781,0.3906,0.5000,0.4375,0.3750,0.5156,0.4688,0.4688,0.4063,0.4844,0.4844,0.4063,0.5156,0.5781,0.3594,0.5156,0.4219,0.4688,0.4375,0.4844,0.3125,0.4219,0.5469,0.5781,0.3594,0.4375,0.4375,0.4688,0.5469,0.3281,0.4844,0.4375,0.4219,0.3438,0.4688,0.5000,0.3594,0.4844,0.5938,0.4844,0.4375,0.6250,0.4063,0.5781,0.6406,0.4219,0.6094,0.5781,0.5313,0.4844,0.4063,0.3750,0.4531,0.4063,0.5000,0.4844,0.6250,0.5469,0.4844,0.4688,0.3906,0.4375,0.4531,0.5000,0.4844,0.5156,0.4688,0.6563,0.4531,0.4375,0.4844,0.5156,0.4844,0.3906,0.4844,0.3594,0.5000,0.4844,0.4531,0.2656,0.3438,0.4219,0.4688,0.5469,0.3750,0.5938,0.5000,0.4531,0.5938,0.5469,,0.2656,0.6563,0.4763,0.0786
98,0.4688,0.5469,0.4375,0.4844,0.3750,0.4219,0.5156,0.5156,0.5156,0.4844,0.4688,0.4844,0.5313,0.5781,0.4688,0.5313,0.5156,0.5000,0.4063,0.5625,0.5000,0.5469,0.5469,0.5000,0.5313,0.4375,0.3906,0.4531,0.4219,0.4375,0.3438,0.3750,0.5156,0.5469,0.5313,0.3906,0.4375,0.5469,0.4844,0.3906,0.5313,0.4688,0.5313,0.5625,0.4531,0.4063,0.4375,0.4375,0.5313,0.5000,0.4688,0.5469,0.4531,0.5000,0.5000,0.5156,0.5000,0.5938,0.4688,0.4531,0.5000,0.4531,0.4844,0.3906,0.4688,0.4375,0.4844,0.4531,0.5781,0.4375,0.4063,0.4219,0.4063,0.4531,0.5000,0.5156,0.5625,0.6094,0.4688,0.4531,0.5156,0.4688,0.5156,0.3438,0.3594,0.3906,0.4688,0.3906,0.4844,0.3438,0.4063,0.6406,0.4219,0.4063,0.5000,0.5313,0.3750,0.4844,0.5313,0.5938,,0.3438,0.6406,0.4766,0.0629
