round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
24,0.4675,0.4800,0.4750,0.4550,0.4375,0.4900,0.5025,0.4675,0.4600,0.5025,0.4725,0.4550,0.4175,0.4325,0.4700,0.4150,0.4350,0.4825,0.4625,0.4250,0.4875,0.4550,0.4300,0.4800,0.4600,0.4850,0.4525,0.5000,0.4300,0.4425,0.4975,0.4725,0.4775,0.4800,0.4575,0.5150,0.5050,0.4550,0.4625,0.4650,0.4650,0.4625,0.4575,0.4125,0.4900,0.4725,0.4675,0.5000,0.4675,0.4250,0.4725,0.4625,0.4625,0.4450,0.4625,0.4350,0.5250,0.4600,0.4550,0.4875,0.5100,0.4100,0.4825,0.4500,0.4550,0.4225,0.4825,0.4450,0.4850,0.4550,0.4925,0.4575,0.4300,0.5025,0.4975,0.4775,0.5100,0.5025,0.4600,0.4650,0.3925,0.4575,0.4950,0.4500,0.5025,0.4350,0.4975,0.5200,0.4250,0.4600,0.4900,0.4850,0.5300,0.5275,0.4775,0.4800,0.4050,0.5050,0.4525,0.5125,,0.3925,0.5300,0.4680,0.0292
25,0.4425,0.4900,0.4600,0.4900,0.4625,0.4675,0.4375,0.4675,0.4725,0.5175,0.4100,0.4800,0.4100,0.4675,0.4900,0.4750,0.4700,0.4950,0.4350,0.4125,0.5200,0.5150,0.4550,0.4850,0.4625,0.4650,0.4625,0.5050,0.4475,0.4400,0.4525,0.4775,0.4825,0.4425,0.4300,0.4950,0.5175,0.4350,0.4850,0.4600,0.4625,0.4800,0.4525,0.4225,0.4575,0.4700,0.4925,0.5350,0.4700,0.4575,0.4425,0.4325,0.4800,0.4425,0.5350,0.4425,0.4975,0.4600,0.5150,0.5225,0.5050,0.4350,0.4600,0.4775,0.4500,0.4200,0.4475,0.4625,0.4200,0.4250,0.4600,0.4425,0.4525,0.5225,0.5000,0.4975,0.5100,0.4950,0.4800,0.4375,0.4500,0.4600,0.4625,0.4850,0.5125,0.4850,0.4700,0.4825,0.4600,0.4550,0.4950,0.4900,0.4850,0.4850,0.4625,0.4825,0.4600,0.4525,0.4675,0.4775,,0.4100,0.5350,0.4694,0.0283
26,0.4350,0.4750,0.4175,0.4600,0.4425,0.4450,0.4500,0.4225,0.4825,0.4850,0.4075,0.5000,0.5075,0.4275,0.4575,0.4625,0.4600,0.4525,0.4675,0.4500,0.4775,0.4925,0.4725,0.4575,0.4950,0.4325,0.5200,0.4950,0.4425,0.4725,0.4325,0.4825,0.4950,0.4900,0.4900,0.5100,0.4625,0.4425,0.4575,0.4625,0.4750,0.4900,0.4400,0.4750,0.4450,0.4850,0.5125,0.4800,0.4800,0.4650,0.5000,0.4900,0.4825,0.4350,0.5175,0.4475,0.5025,0.4575,0.4675,0.4900,0.4775,0.4375,0.4625,0.4925,0.5200,0.4350,0.4875,0.4575,0.4400,0.4975,0.4700,0.4850,0.4650,0.4750,0.4950,0.4875,0.4700,0.4850,0.4625,0.4475,0.5025,0.4625,0.4675,0.4750,0.4875,0.4825,0.4825,0.5150,0.4875,0.4000,0.5025,0.4750,0.4775,0.4525,0.5125,0.4825,0.4175,0.4475,0.4675,0.4375,,0.4000,0.5200,0.4701,0.0261
27,0.4725,0.4400,0.4450,0.4800,0.4550,0.5225,0.4125,0.4500,0.5025,0.4675,0.4625,0.5200,0.4700,0.4525,0.4625,0.4075,0.4850,0.4750,0.4875,0.4225,0.4675,0.4875,0.4675,0.4350,0.5075,0.4300,0.4900,0.4925,0.4475,0.4950,0.4750,0.4900,0.4650,0.4725,0.4775,0.5050,0.4375,0.4300,0.4550,0.4625,0.4525,0.4775,0.4350,0.4800,0.4775,0.4625,0.4575,0.5025,0.4950,0.4100,0.4925,0.5025,0.4450,0.4450,0.4750,0.4675,0.4975,0.4400,0.4800,0.4500,0.4475,0.4575,0.4450,0.4625,0.4800,0.4725,0.4800,0.4425,0.4325,0.4800,0.4500,0.4800,0.4900,0.5075,0.4725,0.4375,0.5150,0.4850,0.4425,0.4325,0.4675,0.4825,0.4550,0.4650,0.4900,0.4750,0.4025,0.4875,0.4775,0.4750,0.5125,0.4825,0.4700,0.5100,0.5275,0.4800,0.4275,0.4575,0.4550,0.4700,,0.4025,0.5275,0.4681,0.0263
28,0.5100,0.5175,0.4075,0.4900,0.4500,0.5000,0.4300,0.4600,0.4400,0.4575,0.4750,0.4800,0.4750,0.4625,0.4550,0.4150,0.4225,0.5125,0.5200,0.4550,0.4550,0.5150,0.4600,0.4875,0.4425,0.4525,0.5400,0.5075,0.4375,0.4825,0.4550,0.4800,0.4250,0.4850,0.4425,0.5025,0.4575,0.4950,0.4300,0.4750,0.4375,0.4925,0.4275,0.5225,0.4800,0.4275,0.4650,0.4850,0.4475,0.4375,0.5150,0.4650,0.4900,0.4400,0.4500,0.4650,0.5025,0.4850,0.5025,0.4475,0.4725,0.4625,0.4675,0.4400,0.4575,0.4475,0.4425,0.4750,0.4575,0.4725,0.4850,0.4600,0.5075,0.4500,0.4100,0.4825,0.4975,0.5250,0.4350,0.4100,0.4925,0.4900,0.4475,0.4425,0.4500,0.4775,0.4650,0.4625,0.4725,0.4500,0.4350,0.4625,0.4575,0.5075,0.5100,0.4650,0.4500,0.4450,0.4600,0.5100,,0.4075,0.5400,0.4676,0.0291
29,0.4900,0.5225,0.4400,0.5500,0.4950,0.5025,0.4650,0.4500,0.4325,0.4450,0.5125,0.4625,0.4825,0.4525,0.4675,0.4550,0.4350,0.4900,0.4775,0.4650,0.4700,0.4650,0.4600,0.4475,0.4475,0.4250,0.5100,0.4925,0.4300,0.5450,0.4300,0.4850,0.4275,0.4875,0.4500,0.5100,0.4975,0.4850,0.4750,0.5150,0.4350,0.4725,0.3800,0.5175,0.4625,0.4600,0.5200,0.4875,0.4300,0.4800,0.5050,0.5050,0.4800,0.4450,0.4675,0.4675,0.5275,0.4700,0.4550,0.4700,0.4500,0.4750,0.4650,0.4775,0.4425,0.4500,0.4600,0.4725,0.4775,0.4875,0.4875,0.4475,0.4450,0.4800,0.4250,0.5100,0.4925,0.5075,0.4625,0.4250,0.5025,0.4725,0.4775,0.4875,0.4425,0.4925,0.5100,0.4800,0.4125,0.4400,0.4700,0.4700,0.4575,0.5000,0.5150,0.4575,0.4650,0.4175,0.4275,0.4600,,0.3800,0.5500,0.4708,0.0303
30,0.4775,0.4600,0.4800,0.4875,0.5025,0.5025,0.4100,0.4550,0.4575,0.4525,0.5325,0.4850,0.5050,0.4800,0.5025,0.5150,0.4725,0.4950,0.4875,0.4300,0.4850,0.5025,0.4975,0.4275,0.4300,0.4575,0.4800,0.4550,0.4125,0.4675,0.4600,0.4875,0.4525,0.4750,0.4550,0.4800,0.4825,0.4725,0.5075,0.5300,0.4700,0.4300,0.4025,0.5075,0.4275,0.4250,0.4825,0.4375,0.4475,0.4775,0.4800,0.4850,0.4875,0.4250,0.4250,0.4725,0.4450,0.4625,0.4800,0.4650,0.4725,0.4450,0.4775,0.4875,0.4650,0.4500,0.4600,0.5050,0.4775,0.5225,0.4975,0.4700,0.4575,0.4350,0.4375,0.4800,0.5100,0.5100,0.4600,0.4400,0.4950,0.5100,0.4975,0.4150,0.4200,0.4650,0.4625,0.4350,0.4925,0.4700,0.4725,0.4750,0.4825,0.4675,0.4975,0.4125,0.5125,0.4825,0.4600,0.4875,,0.4025,0.5325,0.4702,0.0288
31,0.4775,0.4875,0.5225,0.4975,0.5150,0.5050,0.4125,0.4275,0.4475,0.5075,0.4875,0.5225,0.4375,0.4625,0.4500,0.5100,0.5075,0.4950,0.4700,0.4525,0.5275,0.5275,0.5425,0.4550,0.4775,0.4825,0.4475,0.4525,0.4375,0.4600,0.4450,0.4950,0.4875,0.5250,0.4600,0.4875,0.5200,0.4750,0.4700,0.4850,0.4825,0.4200,0.4375,0.4600,0.4450,0.4250,0.4625,0.4775,0.4525,0.4850,0.4625,0.5075,0.4850,0.4350,0.4775,0.4950,0.4200,0.4400,0.4250,0.4800,0.5325,0.4650,0.4575,0.5025,0.4725,0.4425,0.4575,0.4950,0.4275,0.5075,0.4375,0.4825,0.4800,0.4575,0.4475,0.4975,0.4950,0.4850,0.4525,0.4925,0.4700,0.5350,0.5125,0.4225,0.4150,0.4700,0.4200,0.4750,0.4675,0.4600,0.4375,0.4775,0.4675,0.5400,0.4675,0.4500,0.5125,0.4525,0.4800,0.4850,,0.4125,0.5425,0.4734,0.0313
32,0.5100,0.5075,0.5100,0.5125,0.4825,0.4500,0.4650,0.4700,0.4650,0.4375,0.4500,0.5575,0.4475,0.5025,0.4925,0.4675,0.5150,0.4575,0.5050,0.5200,0.4675,0.5050,0.4800,0.4775,0.4375,0.4575,0.4675,0.4350,0.4900,0.4950,0.4550,0.4950,0.4525,0.5000,0.4750,0.4725,0.5025,0.5225,0.4625,0.4775,0.4625,0.4625,0.4675,0.4375,0.4700,0.4575,0.4850,0.5075,0.4575,0.4525,0.4575,0.5275,0.4750,0.4475,0.4600,0.4975,0.4425,0.4250,0.4575,0.4675,0.5200,0.4550,0.4425,0.4800,0.4750,0.4125,0.4425,0.4775,0.4350,0.5175,0.4225,0.4650,0.4575,0.4600,0.4825,0.4575,0.4950,0.4875,0.4750,0.5000,0.4250,0.4850,0.4850,0.4875,0.4475,0.4650,0.4625,0.4650,0.4550,0.4525,0.4875,0.4150,0.4550,0.5100,0.4800,0.4175,0.4900,0.4425,0.4850,0.4850,,0.4125,0.5575,0.4723,0.0275
33,0.5175,0.4500,0.5100,0.4700,0.5000,0.4725,0.4700,0.4650,0.5100,0.5225,0.5075,0.5175,0.4500,0.4875,0.4800,0.4650,0.5100,0.4325,0.4800,0.5025,0.4800,0.5175,0.4500,0.4325,0.4375,0.4250,0.4500,0.4725,0.4825,0.4725,0.4900,0.5075,0.4175,0.4600,0.4375,0.4875,0.4875,0.4825,0.4875,0.4825,0.4600,0.4900,0.4575,0.4950,0.4550,0.4650,0.4650,0.5250,0.4775,0.4950,0.4425,0.5225,0.5100,0.4475,0.4950,0.4975,0.4500,0.4850,0.4525,0.4825,0.5225,0.4700,0.4325,0.5075,0.4900,0.4325,0.4150,0.4475,0.4300,0.5200,0.4675,0.4325,0.4625,0.4825,0.4725,0.4950,0.4975,0.4725,0.4525,0.4750,0.4425,0.4450,0.4825,0.4400,0.4650,0.4650,0.4600,0.4800,0.4450,0.4650,0.4675,0.4950,0.4825,0.4525,0.4625,0.4700,0.4800,0.4450,0.4875,0.4850,,0.4150,0.5250,0.4735,0.0264
34,0.5000,0.4625,0.5125,0.4925,0.4725,0.4675,0.4800,0.4575,0.5025,0.4925,0.4875,0.4800,0.4775,0.4750,0.5100,0.4875,0.5175,0.4500,0.4675,0.5125,0.4700,0.5200,0.4400,0.4725,0.4125,0.4750,0.4400,0.4500,0.4550,0.5475,0.4500,0.4900,0.4350,0.4150,0.4675,0.4950,0.4375,0.4625,0.4850,0.4775,0.4975,0.5050,0.4375,0.4000,0.4825,0.4650,0.4750,0.4775,0.5050,0.4725,0.4550,0.4450,0.5025,0.4800,0.4775,0.4800,0.5225,0.4425,0.4375,0.5050,0.5300,0.4600,0.5100,0.5250,0.4800,0.4625,0.4675,0.4750,0.4250,0.5175,0.4375,0.4600,0.4525,0.4675,0.4475,0.4400,0.4900,0.4825,0.4725,0.4375,0.4725,0.4950,0.4900,0.4625,0.4850,0.4525,0.4575,0.4950,0.4425,0.5050,0.4675,0.4950,0.4475,0.4925,0.4725,0.5000,0.4750,0.4525,0.5000,0.4500,,0.4000,0.5475,0.4742,0.0275
35,0.5000,0.5125,0.5150,0.4875,0.4375,0.4600,0.4775,0.4300,0.4500,0.4400,0.4875,0.4900,0.4650,0.4800,0.4875,0.5050,0.4975,0.4775,0.4600,0.4825,0.4375,0.5125,0.4600,0.4550,0.4400,0.4975,0.4575,0.5150,0.4825,0.4875,0.4525,0.4900,0.4875,0.4425,0.4425,0.4875,0.4775,0.4650,0.4950,0.4400,0.4925,0.4700,0.4850,0.3925,0.4675,0.4400,0.4575,0.4700,0.5050,0.4700,0.4525,0.4375,0.4925,0.5025,0.4400,0.4700,0.4625,0.4325,0.4675,0.5150,0.5200,0.4725,0.5150,0.4600,0.5025,0.4925,0.4775,0.5375,0.5100,0.4950,0.4300,0.5050,0.4775,0.4875,0.4400,0.4400,0.5225,0.4550,0.4775,0.4775,0.4800,0.4975,0.4825,0.5000,0.4375,0.4400,0.4225,0.4650,0.4675,0.4800,0.4875,0.4325,0.4075,0.4775,0.4725,0.4975,0.4825,0.4300,0.4650,0.4750,,0.3925,0.5375,0.4728,0.0276
36,0.4950,0.5200,0.4550,0.4925,0.4325,0.4975,0.4650,0.4675,0.4850,0.4225,0.4600,0.4975,0.4875,0.5200,0.5350,0.4950,0.4900,0.5025,0.4625,0.4825,0.4800,0.4850,0.4575,0.4600,0.4875,0.4525,0.5000,0.5150,0.4575,0.5250,0.5100,0.5325,0.5025,0.4625,0.4400,0.4550,0.4925,0.5000,0.5125,0.4375,0.5025,0.4400,0.4450,0.4450,0.4325,0.4750,0.4600,0.4525,0.5150,0.4300,0.4650,0.4675,0.4425,0.5225,0.4700,0.4300,0.4625,0.5125,0.4650,0.5125,0.4975,0.4525,0.4725,0.4775,0.4675,0.5025,0.4650,0.4850,0.4750,0.4675,0.4100,0.5050,0.4400,0.5200,0.5000,0.4150,0.5175,0.5100,0.4200,0.4850,0.4750,0.4575,0.4600,0.5000,0.4525,0.4600,0.4325,0.4975,0.4500,0.4850,0.4925,0.4650,0.4150,0.5075,0.4950,0.4675,0.5150,0.4825,0.4725,0.4850,,0.4100,0.5350,0.4763,0.0293
37,0.4800,0.4700,0.4650,0.4100,0.4250,0.4775,0.5250,0.4425,0.4850,0.4675,0.5375,0.5075,0.4850,0.4800,0.4475,0.5400,0.4825,0.4975,0.4650,0.4725,0.5000,0.4750,0.4675,0.4875,0.4900,0.4800,0.5225,0.4650,0.4300,0.5025,0.4875,0.4850,0.4975,0.4750,0.4700,0.4475,0.4850,0.4850,0.4875,0.5025,0.4750,0.4725,0.4900,0.4450,0.4675,0.4550,0.5025,0.4700,0.5000,0.4600,0.4550,0.5050,0.4375,0.4950,0.4950,0.4425,0.4625,0.4825,0.4400,0.5000,0.5025,0.4600,0.4550,0.5050,0.4550,0.4975,0.4625,0.5125,0.4900,0.4375,0.4375,0.4750,0.4675,0.4550,0.4900,0.4125,0.4800,0.5125,0.4700,0.4825,0.4925,0.4550,0.5200,0.5400,0.4775,0.4575,0.4725,0.4725,0.4750,0.5200,0.5075,0.5125,0.4100,0.4950,0.5075,0.4825,0.5450,0.4625,0.4975,0.4650,,0.4100,0.5450,0.4789,0.0276
38,0.5075,0.4200,0.5000,0.4575,0.4425,0.4825,0.4700,0.4275,0.4875,0.5050,0.5275,0.5125,0.4325,0.4875,0.4075,0.5000,0.4225,0.5075,0.4650,0.4450,0.4775,0.4250,0.4400,0.4725,0.4900,0.4625,0.4550,0.4675,0.4825,0.4425,0.4825,0.4425,0.5025,0.4575,0.4925,0.4600,0.4500,0.4700,0.4700,0.5075,0.4875,0.4750,0.4825,0.4825,0.4775,0.4500,0.4900,0.4950,0.5025,0.4325,0.4300,0.4575,0.4725,0.5225,0.5125,0.4650,0.4600,0.5025,0.4675,0.4625,0.4275,0.4450,0.5125,0.4525,0.4550,0.5225,0.4475,0.4825,0.4300,0.4775,0.4225,0.4750,0.4975,0.4500,0.5125,0.4975,0.4675,0.4525,0.5025,0.5000,0.4850,0.4700,0.4575,0.4825,0.4550,0.4800,0.4500,0.5075,0.4950,0.5275,0.4675,0.5275,0.4125,0.5075,0.4925,0.5400,0.5125,0.4625,0.5175,0.4850,,0.4075,0.5400,0.4745,0.0296
39,0.4600,0.4550,0.4650,0.4625,0.4400,0.4975,0.4925,0.4300,0.4825,0.5225,0.4875,0.5175,0.4025,0.4575,0.4400,0.4800,0.4375,0.4350,0.5225,0.4850,0.5150,0.4225,0.4400,0.4500,0.5000,0.4425,0.4475,0.4750,0.4825,0.4650,0.4900,0.4450,0.4575,0.4475,0.4575,0.4700,0.4350,0.4475,0.4375,0.4925,0.4800,0.5125,0.4825,0.4375,0.4300,0.5150,0.4825,0.4600,0.5050,0.4400,0.4550,0.4475,0.4825,0.5625,0.4900,0.4725,0.4175,0.4600,0.4700,0.4300,0.4500,0.4925,0.4725,0.4625,0.4625,0.5150,0.4125,0.4725,0.4425,0.4250,0.4325,0.4825,0.4775,0.4750,0.4725,0.4425,0.4275,0.4400,0.4800,0.4825,0.4675,0.4775,0.4850,0.4475,0.4600,0.5250,0.4575,0.4350,0.4650,0.5175,0.4375,0.5100,0.4550,0.5100,0.4900,0.4925,0.4575,0.4450,0.5175,0.4900,,0.4025,0.5625,0.4679,0.0297
40,0.4725,0.4700,0.4275,0.4775,0.4625,0.4850,0.5150,0.4450,0.5125,0.5025,0.5000,0.5075,0.4500,0.4825,0.4850,0.5050,0.4625,0.4650,0.4975,0.4925,0.5100,0.4325,0.4550,0.4550,0.4625,0.4675,0.4525,0.4625,0.4475,0.4850,0.4875,0.4725,0.5025,0.4325,0.4475,0.4575,0.4725,0.4775,0.4950,0.4650,0.4650,0.4450,0.4800,0.4325,0.4775,0.5275,0.4900,0.4525,0.5525,0.4750,0.4925,0.4225,0.5200,0.4825,0.4700,0.4525,0.4625,0.4950,0.4650,0.4200,0.4800,0.4600,0.4875,0.4275,0.4675,0.4900,0.4550,0.4825,0.4950,0.4675,0.4825,0.4550,0.4700,0.4650,0.4475,0.4400,0.4825,0.4775,0.4550,0.4600,0.4300,0.4850,0.5050,0.4425,0.4550,0.4750,0.4400,0.4375,0.5075,0.4725,0.4675,0.4800,0.4800,0.4475,0.4925,0.4525,0.4450,0.4675,0.4725,0.4750,,0.4200,0.5525,0.4711,0.0245
41,0.4300,0.4775,0.4225,0.4825,0.4375,0.4850,0.5000,0.4850,0.4875,0.4825,0.4550,0.4850,0.4825,0.4350,0.4850,0.4675,0.4625,0.4950,0.5350,0.5300,0.4575,0.4525,0.4625,0.4475,0.4750,0.4375,0.4825,0.4325,0.4725,0.4825,0.4925,0.4400,0.5225,0.4725,0.4975,0.4650,0.4900,0.4950,0.4700,0.4925,0.4650,0.5175,0.5025,0.4275,0.4625,0.5275,0.4700,0.4625,0.4900,0.5125,0.4700,0.4450,0.4400,0.4750,0.4950,0.5050,0.4975,0.4725,0.4950,0.4300,0.4475,0.4575,0.4650,0.4600,0.4675,0.4725,0.4425,0.4800,0.4800,0.4625,0.4925,0.4175,0.4825,0.4675,0.4000,0.4175,0.4700,0.4550,0.4200,0.4625,0.3875,0.5125,0.4300,0.4100,0.4650,0.4550,0.4525,0.4150,0.4725,0.5025,0.5050,0.5075,0.5000,0.4025,0.4700,0.4600,0.4225,0.4650,0.4950,0.4500,,0.3875,0.5350,0.4682,0.0302
42,0.4500,0.4675,0.4600,0.4500,0.4375,0.4625,0.4925,0.4550,0.4800,0.4625,0.4325,0.4675,0.4650,0.4225,0.4625,0.4875,0.4450,0.5050,0.4750,0.4875,0.4600,0.4900,0.4825,0.4800,0.4525,0.4850,0.4825,0.4700,0.4450,0.4425,0.4725,0.4600,0.5300,0.4350,0.5100,0.4775,0.4950,0.4750,0.4725,0.4800,0.4750,0.4625,0.5150,0.4675,0.4675,0.5000,0.4750,0.4600,0.4850,0.5175,0.4875,0.4300,0.4475,0.4500,0.4600,0.5275,0.5175,0.5150,0.4975,0.4625,0.4550,0.5125,0.4825,0.4700,0.4900,0.4625,0.4375,0.4225,0.4500,0.4900,0.4575,0.4725,0.4575,0.4600,0.4475,0.4225,0.4800,0.4450,0.4700,0.5200,0.4200,0.4625,0.4500,0.4600,0.4350,0.4975,0.4500,0.4475,0.5350,0.4475,0.4900,0.5100,0.4600,0.5175,0.4750,0.4825,0.4700,0.4625,0.4700,0.4750,,0.4200,0.5350,0.4711,0.0255
43,0.4425,0.4425,0.4525,0.4650,0.4475,0.4750,0.4800,0.4500,0.5225,0.4550,0.4750,0.4325,0.4875,0.4775,0.4750,0.5100,0.4700,0.4600,0.4775,0.4900,0.4900,0.4525,0.4500,0.5050,0.4900,0.4625,0.4850,0.4775,0.4725,0.4325,0.4625,0.4400,0.5075,0.4200,0.4925,0.5025,0.4825,0.4475,0.4825,0.4050,0.4625,0.4400,0.4950,0.4700,0.4775,0.4425,0.4750,0.4550,0.5350,0.4750,0.4650,0.4375,0.4600,0.4375,0.4625,0.5250,0.5025,0.5025,0.4925,0.4800,0.5100,0.5075,0.4425,0.5400,0.4900,0.4725,0.4575,0.4525,0.4450,0.4300,0.4775,0.4600,0.4875,0.4550,0.4225,0.4400,0.4550,0.4500,0.4900,0.4925,0.4575,0.4525,0.4900,0.4625,0.4125,0.4425,0.4575,0.4400,0.4975,0.4750,0.5000,0.5100,0.4350,0.5100,0.4375,0.4925,0.4725,0.4925,0.4950,0.4975,,0.4050,0.5400,0.4705,0.0272
44,0.4725,0.4300,0.4350,0.4850,0.5075,0.4775,0.4900,0.4550,0.4725,0.4850,0.4800,0.4325,0.5100,0.4500,0.5100,0.5200,0.4275,0.4825,0.4625,0.4175,0.4850,0.4800,0.4225,0.4800,0.4850,0.4850,0.4725,0.4100,0.4475,0.4375,0.4500,0.4675,0.4900,0.4575,0.4550,0.4950,0.4850,0.4775,0.4800,0.4550,0.4425,0.4300,0.4925,0.4375,0.4550,0.4375,0.4375,0.4775,0.5000,0.4900,0.5200,0.4675,0.4775,0.4800,0.4750,0.5075,0.4725,0.4975,0.5125,0.4875,0.5350,0.4750,0.4475,0.5225,0.4600,0.4600,0.4775,0.4600,0.4675,0.4200,0.4475,0.4925,0.5425,0.4950,0.4725,0.4750,0.4775,0.5200,0.4525,0.5100,0.4450,0.4075,0.4425,0.4200,0.4025,0.5100,0.4550,0.4425,0.5000,0.4650,0.5000,0.4400,0.4925,0.5025,0.4625,0.5200,0.5000,0.4975,0.4825,0.4700,,0.4025,0.5425,0.4718,0.0298
45,0.4450,0.4575,0.4825,0.4675,0.4950,0.4950,0.4750,0.4100,0.5325,0.4625,0.4325,0.4725,0.4900,0.4425,0.4850,0.4850,0.4750,0.4925,0.4975,0.4525,0.4625,0.5050,0.4575,0.4925,0.4825,0.5125,0.4675,0.4900,0.4900,0.4200,0.4525,0.4400,0.4700,0.4975,0.4375,0.4700,0.4600,0.4825,0.4975,0.4850,0.4575,0.3825,0.4800,0.4275,0.4625,0.4100,0.4475,0.5025,0.4750,0.4725,0.5175,0.4175,0.4475,0.4900,0.4400,0.4800,0.4625,0.4975,0.4950,0.4625,0.5475,0.4600,0.4350,0.5125,0.4725,0.4775,0.5000,0.4675,0.4525,0.4450,0.4700,0.5100,0.4800,0.5375,0.4475,0.4650,0.4850,0.5350,0.4325,0.4975,0.4450,0.4250,0.4800,0.4625,0.4175,0.5100,0.4900,0.4375,0.5125,0.4975,0.4850,0.4900,0.5325,0.4950,0.5075,0.4925,0.5150,0.4700,0.4625,0.4550,,0.3825,0.5475,0.4736,0.0306
46,0.4400,0.4525,0.4700,0.4700,0.4850,0.4800,0.4550,0.4450,0.4975,0.4700,0.4525,0.4300,0.4500,0.4400,0.4725,0.4600,0.4950,0.4550,0.4975,0.4475,0.4475,0.5275,0.4700,0.4900,0.4725,0.4925,0.5050,0.4750,0.5075,0.4400,0.4700,0.4750,0.4550,0.4950,0.4475,0.4750,0.4650,0.4450,0.4600,0.4725,0.4775,0.4625,0.4750,0.4625,0.4375,0.4500,0.4700,0.4950,0.5325,0.4550,0.5250,0.4450,0.4700,0.5000,0.4775,0.4800,0.4550,0.4725,0.4800,0.4400,0.5450,0.4600,0.4450,0.4500,0.4975,0.4650,0.4775,0.4400,0.4775,0.4800,0.4825,0.5050,0.4425,0.4875,0.4450,0.4600,0.4875,0.5050,0.4400,0.4525,0.4425,0.4650,0.4925,0.4500,0.5075,0.5150,0.4450,0.4825,0.4825,0.4875,0.5300,0.4625,0.5000,0.4400,0.4825,0.4750,0.4850,0.4500,0.4875,0.4300,,0.4300,0.5450,0.4717,0.0246
47,0.4350,0.5000,0.4875,0.4350,0.4425,0.4375,0.4750,0.4700,0.4800,0.4500,0.4875,0.4475,0.4750,0.4625,0.4300,0.4875,0.4625,0.4650,0.5400,0.4975,0.4800,0.4925,0.4275,0.4500,0.4825,0.4900,0.4850,0.4275,0.4750,0.4650,0.5000,0.5025,0.4950,0.4300,0.4725,0.4700,0.4725,0.4425,0.4700,0.4850,0.4550,0.4725,0.4300,0.4650,0.4325,0.4925,0.4650,0.4675,0.4700,0.4850,0.5350,0.4725,0.4950,0.5050,0.5200,0.4750,0.4525,0.4975,0.4975,0.4175,0.5100,0.4275,0.4425,0.4150,0.5175,0.4450,0.4950,0.4850,0.5050,0.4800,0.4725,0.5075,0.4400,0.4100,0.4500,0.4750,0.4425,0.4800,0.4625,0.4525,0.4825,0.4500,0.5300,0.4350,0.4650,0.4900,0.4950,0.4875,0.4725,0.4850,0.5225,0.5025,0.4925,0.4750,0.4300,0.4950,0.4650,0.5025,0.5075,0.4400,,0.4100,0.5400,0.4722,0.0282
48,0.4600,0.4675,0.5075,0.4575,0.4025,0.4300,0.4500,0.4600,0.5025,0.4600,0.5000,0.5000,0.4725,0.4650,0.4400,0.4725,0.4875,0.4800,0.4825,0.4775,0.5000,0.5250,0.4450,0.4775,0.4500,0.4725,0.4325,0.4625,0.4725,0.4425,0.4825,0.5125,0.5100,0.4450,0.4750,0.4425,0.4425,0.4900,0.4525,0.4850,0.4400,0.4675,0.4625,0.4325,0.4550,0.4675,0.4900,0.4800,0.4550,0.4825,0.4925,0.4575,0.4675,0.4550,0.4900,0.4700,0.4850,0.4425,0.5150,0.4675,0.5200,0.4175,0.4325,0.4275,0.4850,0.4400,0.4850,0.4500,0.4925,0.4675,0.4300,0.4600,0.4750,0.4425,0.4425,0.4800,0.4975,0.4250,0.4850,0.4800,0.4775,0.4375,0.5250,0.4575,0.4550,0.4750,0.5175,0.5300,0.4550,0.4925,0.5225,0.4800,0.4675,0.5050,0.4300,0.5100,0.4650,0.4725,0.4850,0.4725,,0.4025,0.5300,0.4703,0.0267
